0,1,2,3,4,5,6,7,8,9,target
10,16,7,6,0,8,3,9,12,2,0
9,12,6,6,1,6,7,7,14,3,0
13,17,5,11,4,6,8,7,25,3,0
9,14,5,13,3,4,6,7,24,0,0
7,14,4,8,0,7,6,7,16,2,0
10,15,2,6,5,12,10,5,11,7,0
8,13,3,4,0,11,7,1,11,1,0
8,9,5,6,3,8,8,6,16,4,0
9,15,10,9,4,4,5,11,14,1,0
9,9,6,6,6,16,6,2,19,5,0
9,16,3,3,2,16,13,6,14,2,0
3,12,8,7,4,10,3,2,8,5,0
8,15,7,12,1,15,6,2,12,4,0
10,5,5,4,4,5,9,2,9,1,0
6,14,2,7,1,19,6,3,12,2,0
7,13,1,11,2,16,10,8,9,0,0
3,13,5,2,5,10,7,7,13,1,0
8,12,3,5,1,10,7,8,10,1,0
8,12,3,5,7,21,8,7,9,3,0
8,11,5,13,2,20,8,6,14,6,0
8,5,6,2,4,10,7,5,15,0,0
8,10,2,6,3,11,7,2,14,2,0
9,11,5,3,3,11,9,6,12,1,0
9,14,2,10,0,13,9,5,9,4,0
6,14,1,15,7,12,8,11,17,11,0
17,32,17,42,24,26,12,45,10,11,0
16,15,10,20,7,15,16,8,9,23,0
9,11,11,23,14,13,7,5,15,28,0
8,10,6,17,4,10,5,12,12,16,0
16,31,10,26,11,11,12,19,24,15,0
10,10,9,21,8,7,6,14,19,5,0
10,13,9,18,10,9,8,19,9,15,0
19,19,22,35,16,6,20,27,26,11,0
10,9,5,20,7,8,7,19,13,2,0
13,23,22,19,10,33,15,23,4,6,0
8,6,13,4,2,8,4,4,14,7,0
10,6,7,7,1,7,9,7,18,4,0
6,8,14,7,3,10,10,7,9,11,0
10,17,12,28,9,16,9,9,9,23,0
9,20,11,27,4,13,8,5,9,15,0
8,14,4,27,15,16,19,10,8,8,0
12,15,16,24,15,13,14,5,13,13,0
19,13,12,10,12,18,6,8,9,16,0
18,17,10,21,3,10,15,16,15,12,0
15,11,21,13,7,10,6,8,20,10,0
10,13,23,14,5,8,9,6,30,13,0
9,10,5,3,8,6,6,8,18,8,0
3,8,9,1,3,11,1,4,11,1,0
8,10,12,6,4,4,6,2,15,7,0
5,11,10,28,17,12,8,23,5,0,0
6,10,7,7,2,10,4,6,14,15,0
9,11,10,20,13,6,16,23,16,4,0
4,10,4,5,6,11,3,7,18,12,0
18,14,32,28,20,8,16,19,11,13,0
14,11,9,13,13,12,6,1,10,20,0
5,5,7,33,15,1,7,16,1,4,0
13,10,9,15,12,13,8,2,8,10,0
6,5,13,20,13,3,10,14,0,3,0
14,19,2,13,8,16,6,4,11,6,0
18,17,10,20,13,11,7,6,13,9,0
8,7,11,18,18,3,4,17,0,8,0
16,21,14,19,5,13,10,0,9,13,0
13,15,11,24,7,13,11,3,9,15,0
18,14,10,19,10,8,8,4,12,7,0
11,4,14,26,13,2,9,18,2,3,0
13,12,8,26,7,9,11,7,11,18,0
6,2,20,24,13,1,7,24,1,6,0
9,6,10,19,9,8,5,10,22,9,0
14,11,9,9,5,10,19,14,21,15,0
10,19,14,27,10,14,14,17,23,6,0
17,22,14,32,12,23,15,28,12,14,0
6,4,7,18,14,7,5,32,9,3,0
6,4,6,8,5,2,5,12,16,3,0
6,7,12,8,6,4,5,12,25,4,0
9,13,12,9,2,15,9,9,17,24,0
19,22,15,63,23,11,15,49,6,21,0
11,9,18,32,7,12,17,15,12,14,0
18,28,25,53,15,21,15,38,16,31,0
20,24,21,17,11,10,20,21,15,7,0
12,19,15,19,10,11,13,21,21,11,0
8,18,14,38,14,11,12,28,10,5,0
6,10,8,14,0,13,3,16,12,2,0
5,1,11,17,5,5,3,14,14,0,0
12,4,6,24,8,3,11,6,20,1,0
6,6,7,28,8,11,6,18,17,0,0
5,3,11,26,18,7,7,14,16,0,0
4,2,12,21,9,11,5,10,19,1,0
8,16,13,22,4,13,13,7,15,9,0
2,3,2,8,11,6,2,9,20,0,0
6,4,3,17,14,5,6,2,20,3,0
5,5,9,26,17,8,5,8,22,2,0
9,3,6,28,11,7,6,15,19,2,0
3,16,7,28,11,6,6,15,20,3,0
4,3,7,21,6,8,10,13,20,0,0
5,4,8,20,8,8,6,8,16,8,0
4,2,10,14,10,7,17,10,19,1,0
23,27,17,22,13,18,18,24,21,18,0
11,28,15,19,7,27,12,12,15,5,0
12,16,8,18,4,11,8,15,15,7,0
5,9,7,3,4,12,9,5,9,1,0
10,20,26,14,8,17,8,24,18,5,0
7,8,20,24,15,15,10,21,14,3,0
21,24,22,34,13,16,20,37,21,5,0
8,16,18,25,7,9,7,6,13,3,0
5,11,23,24,3,8,4,17,16,6,0
3,13,27,25,7,11,12,15,14,10,0
16,27,16,41,16,13,9,30,12,0,0
7,14,22,18,0,9,9,6,17,8,0
10,11,15,15,1,4,10,13,27,2,0
3,16,23,26,1,15,5,5,30,4,0
11,15,20,19,15,10,8,13,20,4,0
12,10,16,29,14,14,13,19,20,3,0
15,5,11,12,7,9,9,12,17,7,0
15,7,8,11,6,13,15,13,19,3,0
9,6,6,7,6,5,5,15,20,5,0
15,9,3,9,7,6,11,12,18,1,0
9,10,6,4,2,8,3,11,18,4,0
7,12,20,11,9,11,9,7,20,1,0
12,9,12,13,7,5,8,8,26,1,0
5,11,11,9,8,7,6,13,13,0,0
8,12,16,12,9,14,11,9,24,2,0
10,15,10,13,9,12,4,5,21,3,0
8,13,12,8,7,9,6,8,20,1,0
11,16,15,8,6,14,11,7,21,4,0
4,15,7,9,2,19,11,10,27,3,0
6,11,8,9,2,9,5,10,18,0,0
15,12,17,10,3,9,7,10,21,2,0
6,9,14,8,3,7,4,8,21,6,0
13,13,14,7,3,17,3,2,16,0,0
14,6,15,12,5,9,9,3,26,0,0
7,12,23,7,4,15,2,8,20,2,0
6,11,13,13,5,16,7,13,23,4,0
12,9,10,2,3,11,5,8,12,0,0
10,13,18,15,5,5,7,6,20,9,0
8,11,13,15,1,10,13,8,16,4,0
10,11,6,17,4,6,10,18,23,4,0
10,10,25,13,9,13,16,15,15,13,0
14,15,23,16,3,14,21,18,20,11,0
4,6,15,12,6,9,7,14,18,1,0
6,6,3,4,7,9,5,12,23,1,0
9,19,6,11,3,11,11,5,24,5,0
4,17,8,24,6,13,10,4,15,4,0
8,12,13,15,4,6,9,12,12,10,0
7,8,11,13,5,11,6,12,16,1,0
4,5,12,4,2,5,5,4,19,11,0
13,8,20,18,15,7,5,34,8,10,0
8,13,4,5,3,12,7,10,9,4,0
13,13,15,11,1,13,7,8,6,14,0
18,14,11,21,3,17,11,21,4,23,0
16,8,13,35,7,8,12,16,13,1,0
18,9,10,17,8,11,10,21,14,3,0
6,2,8,13,10,8,6,18,22,1,0
21,12,20,24,10,17,20,28,14,14,0
7,10,12,18,8,8,10,9,14,7,0
3,15,13,14,5,12,3,4,11,7,0
18,13,14,39,15,15,18,27,24,10,0
9,8,16,27,15,11,15,15,12,3,0
14,18,24,19,3,11,10,13,24,7,0
13,15,19,18,3,7,7,11,16,0,0
6,7,24,30,11,7,11,17,12,5,0
8,30,11,32,19,10,6,35,5,11,0
9,13,21,21,7,10,12,16,2,8,0
13,5,5,22,10,8,11,16,10,5,0
7,8,15,10,2,6,8,3,22,4,0
4,8,17,13,2,8,9,5,21,6,0
7,13,11,20,12,12,11,17,10,12,0
12,9,21,33,1,6,16,27,28,2,0
8,22,9,13,3,14,11,10,25,7,0
12,10,11,17,11,20,9,16,22,2,0
20,24,25,34,12,13,12,27,15,7,0
20,21,22,47,17,7,19,21,35,11,0
13,20,19,10,8,13,12,7,21,15,0
8,17,19,19,12,14,6,19,17,7,0
9,33,21,18,10,11,8,14,31,6,0
16,30,11,28,18,20,11,16,27,11,0
7,9,9,17,7,12,4,16,20,3,0
10,11,19,12,0,5,9,2,19,1,0
7,12,4,9,7,8,7,6,19,5,0
11,16,21,26,5,14,17,17,15,4,0
7,7,1,15,4,5,6,10,21,1,0
11,10,16,18,5,4,4,12,16,5,0
6,8,3,24,7,12,10,17,25,5,0
15,11,19,25,6,11,9,15,21,5,0
8,18,20,10,7,14,12,9,25,7,0
11,15,17,6,2,7,5,12,21,19,0
19,7,22,27,9,5,12,17,21,2,0
12,23,14,14,7,14,10,12,18,11,0
10,15,8,38,15,18,18,21,14,20,0
12,17,10,23,6,8,15,9,10,15,0
15,9,17,17,7,9,5,11,22,1,0
24,14,26,25,8,3,13,13,8,12,0
14,7,14,19,0,9,12,11,9,11,0
12,18,9,31,11,20,15,28,16,18,0
23,13,22,34,9,5,11,17,8,9,0
16,8,19,21,2,7,10,8,12,10,0
14,16,8,34,15,18,18,28,15,15,0
7,4,18,16,7,10,6,12,11,10,0
10,7,4,22,7,10,5,8,18,7,0
10,15,9,10,6,10,12,8,18,6,0
13,10,23,24,2,6,13,12,23,8,0
13,18,9,25,11,17,14,45,31,10,0
14,17,19,25,8,9,14,25,19,8,0
13,14,14,29,17,10,14,19,16,5,0
10,21,19,19,17,15,11,24,21,11,0
9,15,14,20,11,15,18,16,26,9,0
6,11,18,20,10,10,9,13,4,22,0
5,20,9,14,7,10,10,7,27,4,0
13,26,17,24,17,10,15,31,28,16,0
10,10,12,13,6,12,10,12,26,1,0
5,9,13,6,3,6,8,5,24,3,0
9,8,20,6,3,7,9,4,23,2,0
5,15,8,8,4,9,7,3,28,2,0
9,10,8,19,7,8,9,8,17,4,0
7,1,25,11,4,11,6,6,20,3,0
6,9,13,4,2,7,8,5,19,0,0
7,16,8,8,7,12,12,12,27,1,0
12,23,6,13,6,8,18,7,30,2,0
7,21,12,11,3,13,15,7,16,6,0
9,11,19,15,8,6,9,10,21,0,0
15,13,17,15,10,12,18,13,24,8,0
11,10,10,13,6,6,10,11,41,1,0
4,15,18,29,10,11,5,28,2,7,0
15,12,15,33,8,12,21,20,25,7,0
5,6,25,20,7,5,11,15,14,1,0
20,12,15,20,9,11,13,17,24,11,0
