0,1,2,3,4,5,6,7,8,9,target
2,1,3,19,12,0,29,3,33,8,0
103,41,81,33,223,11,166,135,93,212,0
1,0,0,15,0,0,3,3,5,0,0
14,8,13,17,23,0,23,13,18,10,0
8,5,8,8,22,4,17,8,17,26,0
1325,35,25,43,116,16,166,1297,95,121,0
2,4,7,17,7,5,19,1,25,15,0
12,15,9,89,20,10,53,71,54,17,0
31,23,49,65,45,56,67,44,66,40,0
1,67,6,109,59,111,80,0,41,20,0
17,27,17,27,28,70,28,18,18,31,0
3,3,3,14,11,1,19,16,14,14,0
424,542,492,500,410,430,579,368,522,432,0
10,10,22,26,12,3,40,15,25,13,0
17,23,38,90,13,34,35,26,54,15,0
49,17,88,37,21,24,42,57,42,32,0
22,31,38,21,8,30,3,20,9,6,0
27,36,23,73,39,10,71,41,69,50,0
140,33,20,30,28,29,77,55,88,30,0
70,0,13,17,121,0,85,128,39,136,0
6,7,14,11,16,1,15,5,13,9,0
13,29,12,3,5,23,5,9,8,3,0
95,37,44,65,68,49,106,48,77,67,0
48,3,4,16,31,1,30,42,29,30,0
18,5,3,35,13,20,48,20,38,13,0
25,13,21,9,15,17,38,11,23,23,0
3,2,9,12,16,8,20,7,19,23,0
39,115,55,99,40,19,85,19,91,31,0
26,0,0,7,23,6,19,21,7,25,0
196,27,82,19,168,47,197,259,60,171,0
28,0,2,0,7,0,14,5,8,7,0
3,0,1,0,6,0,10,12,1,6,0
15,0,1,0,21,0,10,20,6,13,0
11,11,15,16,11,9,23,19,16,10,0
24,20,30,17,40,25,34,21,47,50,0
21,28,20,37,10,4,36,9,36,15,0
19,7,8,35,12,2,19,9,19,23,0
21,94,52,50,43,196,77,5,57,32,0
20,6,4,10,27,3,15,7,14,27,0
42,29,61,82,96,13,135,12,83,58,0
10,20,9,6,8,16,24,13,17,7,0
7,13,18,35,13,10,24,3,27,7,0
12,2,6,19,0,2,25,1,33,1,0
10,14,13,2,4,21,4,3,4,2,0
9,12,14,11,12,9,25,28,17,17,0
109,186,118,275,121,128,216,84,194,120,0
257,195,286,312,189,113,274,321,298,215,0
27,11,22,11,22,16,54,33,23,22,0
7,4,4,3,9,8,10,7,8,15,0
32,9,24,22,14,9,21,16,22,16,0
19,43,46,20,36,25,38,13,48,25,0
38,2,1,6,7,0,52,20,31,4,0
23,21,40,28,37,31,36,24,49,47,0
30,10,25,11,23,6,28,33,22,23,0
17,4,7,2,29,3,28,19,13,31,0
26,3,1,22,19,1,54,37,23,32,0
17,2,1,3,9,2,12,35,7,6,0
11,11,11,21,10,19,20,11,14,13,0
272,19,19,26,96,7,206,155,66,94,0
295,2,10,24,16,12,33,237,29,13,0
11,14,16,16,12,23,28,10,22,8,0
192,400,223,206,188,370,224,171,225,162,0
306,346,234,427,217,310,337,397,281,231,0
17,14,10,27,26,4,31,19,33,29,0
51,6,7,33,46,13,115,145,78,43,0
32,1,1,4,14,0,29,17,15,16,0
18,49,43,33,31,47,30,13,26,40,0
3,19,25,15,5,6,5,11,7,12,0
15,17,16,39,24,18,30,15,32,22,0
206,6,13,65,115,40,333,159,107,95,0
58,62,63,70,96,50,113,40,88,85,0
72,55,91,87,53,71,101,65,93,46,0
27,33,76,38,47,27,72,25,62,51,0
9,1,2,9,8,1,15,11,8,13,0
39,37,37,62,89,21,101,54,93,83,0
4,23,21,6,19,5,12,15,13,10,0
42,6,13,21,41,4,62,41,46,46,0
44,3,11,3,14,0,17,39,14,15,0
769,53,8,34,139,20,287,827,95,158,0
135,55,55,39,36,54,52,214,48,39,0
29,0,11,38,70,11,106,29,61,90,0
31,11,12,15,27,5,134,20,46,30,0
19,3,29,10,1,3,19,6,18,6,0
22,38,33,41,39,10,46,30,38,40,0
15,3,10,12,30,4,19,13,14,22,0
6,3,4,4,47,1,50,7,16,37,0
8,5,9,34,13,7,20,15,35,12,0
10,1,5,8,3,14,11,11,14,6,0
25,12,31,27,4,18,37,14,40,7,0
44,46,39,40,42,26,65,22,40,48,0
41,55,44,60,56,29,52,32,56,52,0
316,43,77,56,70,36,105,225,83,85,0
44,31,48,31,25,22,39,30,42,37,0
33,54,20,50,35,24,51,23,63,34,0
166,242,344,506,386,271,521,175,464,371,0
8,6,6,1,7,8,7,13,6,10,0
13,8,7,1,12,1,9,8,6,10,0
20,26,35,10,41,18,22,44,19,45,0
90,8,2,4,16,0,49,102,42,22,0
12,8,2,23,6,6,7,8,13,11,0
51,37,54,37,92,14,84,73,50,90,0
18,15,24,12,26,4,29,29,16,33,0
11,6,10,7,16,9,13,14,14,17,0
2,4,3,5,8,5,4,5,6,5,0
13,6,14,6,8,3,14,7,9,6,0
20,24,17,28,29,21,47,27,47,32,0
10,7,19,13,5,6,7,11,10,6,0
507,379,253,755,507,322,771,389,730,485,0
7,3,2,16,14,3,28,18,27,19,0
44,51,70,39,49,39,67,33,47,57,0
18,47,36,20,31,30,33,14,37,34,0
26,14,12,20,31,10,40,27,21,24,0
3,7,16,13,36,1,25,13,11,38,0
99,108,90,92,69,108,107,69,75,55,0
112,2,3,2,11,0,43,167,13,13,0
19,60,15,25,9,58,29,20,42,7,0
11,0,0,0,2,0,22,0,6,4,0
87,9,21,11,90,6,123,54,47,107,0
6,5,10,26,8,5,15,16,9,11,0
5,9,9,17,25,14,37,17,28,20,0
173,4,1,16,31,5,119,73,75,26,0
3,1,0,0,3,0,8,17,1,5,0
5,3,6,8,14,4,25,7,14,20,0
2,3,2,11,5,17,14,6,14,6,0
141,3,3,2,183,0,155,224,40,179,0
19,4,13,9,11,3,6,17,12,9,0
47,7,32,23,34,7,49,90,31,35,0
30,18,6,50,15,66,33,33,44,13,0
34,11,22,25,29,9,39,37,23,26,0
10,7,5,12,7,2,21,11,25,12,0
1248,100,106,134,131,161,281,893,223,137,0
468,7,34,53,26,31,287,157,188,42,0
11,12,11,46,14,6,40,7,33,24,0
84,11,16,13,37,15,61,97,23,39,0
6,12,21,30,27,9,38,18,33,22,0
50,28,22,23,38,27,55,45,45,28,0
10,18,17,4,8,12,7,3,5,9,0
12,0,0,3,31,1,27,24,8,28,0
16,3,0,16,0,0,10,10,18,0,0
16,46,24,25,12,10,22,8,29,10,0
32,6,2,9,2,0,3,33,2,9,0
133,13,20,21,22,6,117,148,38,23,0
7,1,2,3,16,2,18,5,10,18,0
58,45,46,41,34,44,41,29,27,30,0
