0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,target
0,2,2,0,3,2,0,0,0,1,1,1,2,4,0,1,0,2,4,0,0,1,8,0,0,0,0,2,1,2,0,0,4,0,0,1,0,3,6,0,3,4,0,0,0,0,6,3,2,0,0,0,0,0,1,0,2,2,0,0,1,4,0,0,0,0,0,0,2,1,0,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,2,5,0,1,2,2,1,2,0,0
26,8,2,9,3,5,14,5,15,44,1,14,5,21,22,34,11,4,3,1,41,10,10,4,14,2,41,6,5,5,8,2,6,9,0,0,2,10,12,54,6,14,0,24,1,28,15,10,13,2,1,3,2,56,13,26,17,1,3,1,13,25,5,13,0,1,3,29,11,10,5,9,5,3,8,3,42,0,8,3,4,2,0,2,8,3,9,29,5,8,2,39,4,2,16,15,20,2,6,2,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,4,3,1,3,2,2,0,0,0,1,2,1,0,5,0,3,2,5,1,0,2,2,1,3,3,1,5,1,0,0,0,1,1,2,2,0,0,2,1,0,1,0,0,0,0,0,0,2,1,2,3,3,4,5,2,2,0,2,0,1,0,2,1,2,2,0,4,1,4,2,0,0,0,1,2,0,1,0,3,2,2,0,2,0,0,2,3,0,5,4,1,0,1,0,0
0,2,0,0,3,0,5,2,2,4,0,1,1,2,4,0,3,2,1,0,4,1,1,1,4,3,0,0,0,2,0,0,0,2,2,0,0,1,2,3,2,0,0,0,0,2,2,0,0,0,1,0,0,5,1,1,0,0,0,0,4,3,0,5,2,1,1,1,2,1,1,0,0,1,1,0,6,0,2,0,2,0,0,1,0,2,0,0,1,2,0,2,4,0,1,1,2,0,1,1,0
0,0,0,2,0,2,9,0,3,39,0,7,2,40,3,4,143,18,11,0,8,0,7,0,6,4,981,48,1,0,30,1,0,1,0,1,0,19,12,3,3,0,0,216,0,78,12,25,66,0,4,13,0,1,0,12,48,1,5,0,0,27,2,51,0,43,0,71,14,5,2,14,4,0,19,9,11,1,8,1,8,0,4,22,3,0,5,630,50,190,0,38,38,2,3,4,68,0,1,2,0
0,1,0,1,1,1,5,0,1,3,0,1,1,0,0,0,0,7,2,0,0,2,0,1,0,2,1,0,4,2,1,0,9,3,1,1,0,0,0,1,1,2,0,0,0,0,2,2,1,2,0,1,0,0,2,0,0,4,1,1,1,1,0,1,0,0,0,0,3,0,0,0,1,0,0,4,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,2,3,1,0,1,0,2,0,1,0
0,7,5,2,0,0,5,0,5,4,0,3,6,2,0,4,2,0,10,1,3,6,6,1,3,0,5,1,7,1,0,2,14,0,0,0,0,2,2,3,5,9,4,1,0,0,15,6,1,0,3,0,1,3,10,1,2,25,0,3,9,1,0,9,1,1,0,0,8,5,1,3,2,1,5,19,3,0,0,1,3,0,1,0,1,0,7,52,3,0,0,2,0,0,2,0,5,0,4,0,0
5,8,4,4,4,2,4,4,5,5,1,6,3,11,7,3,2,2,6,0,3,5,9,12,1,1,0,5,3,3,4,4,10,6,3,5,3,5,10,4,5,11,3,1,4,1,5,6,1,3,12,2,2,2,3,5,2,2,10,4,13,6,6,6,10,6,4,2,2,11,1,4,4,4,5,13,3,4,8,5,5,5,6,1,10,4,4,5,0,8,12,4,10,1,3,9,4,6,1,5,0
0,0,0,1,1,2,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,22,1,4,3,0,0,0,6,2,1,26,49,13,0,0,0,0,13,0,35,13,143,0,0,0,5,1,0,0,6,10,0,0,2,0,0,31,1,2,0,4,0,1,3,0,0,0,0,0,0,0,16,0,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,16,3,0,25,0,0,9,0,0
