0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
5,0,12,3,1,0,21,1,11,20,0,6,5,5,1,3,6,0,4,6,0
47,6,41,125,39,4,59,77,91,51,21,49,11,139,38,18,96,79,11,96,0
0,0,10,0,0,0,3,0,0,4,0,0,0,0,0,4,0,0,4,2,0
7,2,9,6,9,0,10,3,4,17,7,8,5,6,10,2,16,6,1,11,0
11,0,3,9,4,3,5,10,8,4,3,1,1,19,4,5,13,4,4,12,0
37,5,135,33,317,8,43,26,132,27,21,3,2,106,10,67,110,1110,20,1027,0
5,0,8,3,1,3,12,2,4,12,2,10,5,7,3,7,2,0,5,11,0
6,1,60,4,2,8,40,3,9,40,1,38,7,10,4,28,15,40,11,23,0
20,21,23,18,26,34,36,18,25,44,17,18,28,23,30,19,23,21,23,19,0
22,3,55,35,1,120,29,3,6,61,43,55,21,6,9,3,0,0,19,3,0
9,28,3,17,8,29,9,26,18,7,10,12,29,17,9,9,5,12,15,9,0
4,0,6,5,0,0,10,4,6,11,2,8,5,10,0,4,7,6,5,5,0
210,160,192,172,306,253,318,203,247,312,332,279,170,228,293,268,197,182,166,211,0
7,1,9,5,3,1,14,14,18,18,5,7,6,10,17,10,7,4,7,13,0
5,7,24,7,9,26,30,5,6,29,12,30,6,9,29,35,9,16,20,31,0
9,12,29,11,22,12,22,9,20,22,9,15,13,7,75,24,16,35,9,38,0
5,2,11,7,12,26,6,9,3,2,26,3,3,3,33,9,0,16,4,8,0
18,5,33,12,16,1,42,16,18,47,17,50,12,27,12,16,25,19,14,39,0
16,23,17,11,117,12,54,14,28,50,20,17,18,23,8,9,21,30,11,31,0
39,0,35,34,30,0,22,13,56,32,0,2,2,146,9,2,119,43,6,19,0
3,1,6,7,3,0,7,4,8,7,5,5,3,8,5,6,5,3,2,9,0
1,1,1,3,10,36,4,1,1,4,10,3,5,3,8,3,5,5,1,5,0
40,19,29,29,61,26,46,47,58,37,31,8,26,40,27,23,39,15,24,31,0
20,0,36,14,10,1,16,4,14,12,0,6,1,18,2,6,17,15,2,40,0
9,11,28,3,9,6,17,3,28,13,4,5,11,8,2,2,8,12,11,23,0
12,11,3,10,11,5,11,19,12,7,8,2,7,8,11,11,6,8,4,29,0
9,5,4,6,1,2,14,14,5,6,0,2,3,12,7,5,13,0,7,4,0
30,6,31,12,27,10,55,10,28,55,93,44,14,7,17,67,11,8,15,53,0
5,5,0,4,18,0,4,4,13,3,0,0,5,27,0,1,29,6,5,5,0
90,21,27,66,100,19,33,109,155,25,20,6,12,123,38,5,118,171,10,78,0
12,0,0,7,21,0,3,3,10,4,0,0,0,6,0,0,1,4,0,0,0
3,0,2,2,2,0,0,2,8,0,0,0,0,6,0,0,6,7,0,1,0
5,1,5,1,13,0,4,0,11,1,0,0,1,14,0,0,21,9,0,0,0
3,3,5,5,5,5,10,4,7,17,8,9,4,5,9,8,9,10,6,9,0
14,9,6,17,20,14,30,15,23,17,15,9,7,35,21,7,30,8,10,1,0
10,4,17,5,14,4,23,3,10,17,13,21,2,6,8,21,4,3,3,28,0
4,1,20,2,12,0,16,2,3,12,6,4,9,13,6,7,5,3,13,15,0
20,10,28,18,17,195,46,22,21,38,62,30,12,10,26,23,10,1,17,21,0
9,3,1,20,11,1,5,18,14,7,5,5,3,9,1,5,5,5,6,0,0
22,11,210,31,31,6,27,34,38,33,25,11,29,12,51,4,10,5,18,3,0
3,1,4,2,7,13,11,1,4,6,16,4,1,7,6,5,7,8,4,20,0
7,2,15,4,2,7,15,1,11,18,7,7,9,2,11,16,3,0,8,12,0
9,1,7,0,3,0,29,2,5,24,0,7,1,0,3,1,0,0,8,1,0
4,0,0,5,6,18,3,14,3,2,9,2,1,0,4,3,0,1,0,2,0
6,3,7,4,1,7,8,8,9,9,8,3,3,14,6,6,11,21,1,19,0
64,58,97,56,70,69,117,69,82,97,103,149,57,57,47,102,44,42,75,96,0
72,44,229,72,177,77,167,65,94,158,120,157,60,95,200,143,100,163,77,190,0
7,10,4,9,23,6,13,27,20,19,7,4,2,15,13,9,11,20,7,15,0
7,7,2,4,3,2,1,5,9,1,2,3,1,9,2,0,5,5,4,3,0
6,10,6,6,27,4,16,2,5,10,7,5,4,12,21,3,8,7,11,15,0
14,8,6,14,19,15,32,12,14,25,32,25,19,14,27,4,9,6,12,6,0
8,0,8,2,8,0,17,0,19,20,0,2,1,6,0,2,3,14,3,48,0
20,11,15,14,12,15,24,25,22,12,9,11,13,29,25,10,23,10,10,26,0
4,3,6,6,26,5,17,11,16,17,6,5,7,17,17,3,15,20,6,4,0
11,2,9,6,9,1,10,12,14,10,3,3,1,19,3,0,21,6,2,11,0
28,0,36,5,12,1,9,3,34,7,1,0,1,21,1,10,15,15,2,17,0
2,0,6,2,12,2,6,1,6,3,1,6,0,7,0,1,12,19,1,7,0
9,4,5,4,7,15,10,2,4,10,6,14,4,6,4,9,5,5,8,10,0
70,1,71,32,65,1,29,33,164,23,12,1,6,75,6,2,59,101,9,200,0
5,16,20,3,39,2,14,6,14,11,2,0,9,13,8,5,17,212,8,267,0
6,4,4,7,4,12,14,7,12,19,9,4,5,4,11,11,4,3,5,15,0
57,111,63,111,142,248,128,128,61,111,240,120,66,87,135,148,89,92,74,150,0
100,110,312,85,95,200,146,63,99,160,242,160,72,118,170,190,99,256,86,323,0
6,1,12,15,7,2,20,14,10,20,6,12,7,11,1,8,15,10,13,20,0
18,5,28,16,28,4,41,15,41,47,1,6,12,30,1,16,30,121,20,57,0
7,0,6,5,23,0,8,5,18,9,1,0,2,13,1,0,11,7,4,9,0
15,14,24,18,16,29,17,16,5,17,24,20,9,20,27,9,11,7,16,16,0
3,1,10,3,2,4,4,6,4,1,15,4,1,4,19,13,1,6,3,4,0
6,5,20,13,11,12,19,10,9,13,10,16,9,10,7,19,6,6,5,22,0
98,27,42,22,66,11,36,32,256,40,3,3,26,78,4,32,57,122,25,159,0
55,18,54,40,42,31,49,43,52,42,40,27,23,43,39,15,48,15,22,27,0
19,16,37,31,45,40,40,29,22,50,38,23,20,29,60,65,28,28,19,95,0
14,12,38,23,18,17,38,24,18,50,26,12,13,19,47,26,18,10,14,21,0
3,0,8,3,8,0,5,4,4,9,0,2,2,10,2,1,6,4,4,2,0
36,4,57,32,21,15,53,32,38,51,24,27,8,51,14,17,47,15,23,51,0
4,2,6,10,2,1,7,2,7,11,18,10,6,7,12,4,8,4,2,5,0
14,2,27,22,24,0,36,15,32,34,2,16,2,27,6,1,16,28,3,15,0
4,0,6,8,22,0,5,9,11,7,1,3,4,11,8,2,9,28,3,19,0
99,2,86,34,208,6,37,24,232,25,74,0,18,122,2,33,109,703,26,550,0
11,12,21,12,88,31,25,13,24,28,36,26,13,31,29,38,21,177,17,74,0
31,7,70,17,19,5,29,14,66,26,0,1,2,68,8,5,39,8,7,23,0
16,4,26,2,11,3,30,1,86,29,8,3,7,26,11,2,27,1,6,32,0
1,0,3,4,5,2,14,10,11,6,3,1,5,2,14,5,2,3,4,19,0
24,6,17,18,17,5,22,18,22,21,33,12,12,13,15,14,13,21,9,25,0
10,2,7,12,10,1,7,9,16,3,2,3,2,18,8,2,14,6,5,5,0
13,0,16,11,3,1,4,10,53,4,3,1,0,26,1,1,24,1,0,3,0
