0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,target
0,2,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,1,0,1,0,0,1,0,2,0,0,0,0,0,3,0,1,0,1,1,0,1,1,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,3,6,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,2,0,0,1,1,0,0,4,0,1,0,1,0,1,0,0,1,0,0,0,1,3,1,0,3,1,1,0,2,0,1,2,0,0,1,0,0,0,3,0,0,2,1,0
0,1,0,16,2,5,22,6,2,3,1,11,6,1,9,6,0,4,8,6,3,1,12,1,0,3,12,1,4,0,0,2,2,0,5,3,1,3,1,2,4,0,1,7,24,10,4,6,0,3,5,17,22,6,11,0,5,4,1,9,5,2,12,15,0,2,16,5,1,10,1,4,31,6,1,0,4,8,20,5,9,5,23,0,4,7,24,5,1,5,4,6,3,10,2,1,0,1,0,5,0,8,26,0,5,5,2,22,26,7,0,2,7,0,0,3,2,8,1,5,24,1,9,0,7,4,1,0,31,6,10,1,0,3,7,3,0,3,1,0,4,13,7,3,5,1,8,1,2,3,6,14,8,3,0,2,17,5,3,4,0,2,0,1,1,1,7,2,3,1,2,4,5,12,1,0,5,9,4,2,0,3,5,1,1,3,6,3,5,2,5,5,0,25,4,16,2,22,9,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
3,1,0,1,0,0,0,2,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0,0,0,0,3,0,1,0,2,1,0,1,1,3,2,0,0,2,3,0,0,2,0,3,0,0,2,0,0,2,0,0,0,2,0,2,1,0,2,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,1,1,2,0,0,0,1,0,1,0,1,1,0,0,0,1,4,0,1,2,0,0,0,1,2,0,0,0,0,0,1,1,0,3,1,0,4,0,0,1,1,1,2,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,2,0,1,0,3,0,0,2,0,1,2,0,0,1,0,2,1,0,1,0,3,0,0
0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,2,3,4,0,0,0,0,3,0,5,0,1,1,1,0,1,0,3,6,0,0,0,0,1,2,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,1,1,2,0,1,3,0,1,0,2,0,1,0,0,1,0,1,0,0,1,0,1,0,2,2,0,0,0,2,0,0,0,3,0,1,5,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,1,1,1,1,1,0,0,0
1,0,1,227,0,1,63,14,0,0,0,0,0,0,1,1,0,11,1,36,9,0,1,0,0,1,54,33,25,2,0,0,0,0,0,0,0,4,4,8,1,0,3,143,0,1,15,1,1,1,5,3,1,2,15,1,0,7,0,11,5,1,27,4,0,5,52,0,0,1,2,1,732,1,5,0,19,1,1,1,104,33,26,0,1,0,3,7,0,9,22,65,0,0,0,2,0,7,0,8,0,3,573,0,2,0,10,197,4,3,0,1,3,1,8,17,0,1,1,0,4,2,40,5,5,8,0,2,32,3,24,17,3,1,2,1,1,2,0,0,14,23,5,2,0,2,1,1,0,0,2,1,6,5,0,0,7,1,1,158,0,22,0,0,0,0,0,1,0,6,7,3,4,66,0,0,2,2,7,2,1,12,0,2,2,3,0,6,1,13,2,5,0,1,1,7,0,2,0,0,0
2,1,1,1,0,0,0,2,3,0,1,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,6,1,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,2,1,1,2,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,3,0,0,0,1,0,2,0,1,0,1,0,1,0,1,3,3,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,4,0,0
3,7,0,2,0,0,0,0,2,2,0,1,8,0,1,4,0,0,0,3,1,0,2,1,0,0,2,2,2,0,1,8,1,0,3,3,1,0,0,1,0,0,9,2,0,3,2,0,0,0,0,1,2,0,2,2,0,4,0,5,0,0,2,5,0,2,0,0,0,2,0,3,2,9,1,2,0,3,3,1,1,0,1,0,1,0,0,0,0,0,0,1,1,3,0,0,0,2,2,0,0,0,49,0,0,0,1,0,0,3,0,1,0,0,1,0,2,3,0,4,1,1,1,0,0,0,0,1,0,0,3,1,1,0,0,1,0,3,1,0,2,1,1,0,0,0,6,17,0,1,3,1,1,1,0,4,3,3,3,0,0,0,0,0,9,0,0,0,0,0,1,2,6,0,0,0,5,0,0,5,2,4,1,6,1,1,5,2,1,0,1,0,5,4,0,10,0,0,6,8,0
2,5,1,2,1,5,1,5,3,0,2,7,7,0,6,4,4,1,5,2,3,3,5,4,6,0,2,1,2,2,1,0,4,1,1,1,1,1,1,6,1,2,8,0,2,4,0,1,2,2,5,0,2,1,1,7,1,2,0,6,1,2,0,3,3,4,1,3,4,1,4,5,1,3,4,2,1,4,0,4,0,4,2,3,1,4,1,1,2,3,3,1,7,0,1,9,9,0,1,4,1,5,1,1,2,2,2,1,3,2,2,5,3,0,1,0,3,5,4,6,1,0,2,1,3,3,2,6,0,0,4,3,5,0,5,3,3,3,4,1,1,1,6,0,3,2,0,0,0,4,3,0,3,3,0,1,2,0,4,5,1,1,0,1,4,2,0,1,1,4,5,0,4,3,3,2,3,3,5,1,2,4,2,2,0,2,1,5,3,4,3,1,3,1,0,2,1,2,5,2,0
0,75,0,0,0,0,0,0,6,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,13,1,27,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,6,0,0,3,1,0,0,0,0,4,2,0,0,0,7,27,0,2,1,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,1,0,1,0,0,0,1,1,0,22,0,0,0,5,1,0,0,1,0,0,5,0,0,5,1,0,14,0,18,0,0,1,0,0,1,0,0,2,0,2,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,10,0,0,1,0,14,0,0,0,0,124,0,0,3,0,0,19,0,0
