0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,target
1,1,0,4,0,1,3,0,2,3,0,2,0,2,1,1,1,0,5,0,3,4,7,2,0,1,0,1,0,3,1,4,0,0,0,2,2,3,5,3,4,0,0,0,1,0,0,13,0,8,0,1,0,2,0,1,10,0,0,2,0
9,33,1,26,41,8,64,5,31,12,10,22,2,16,15,17,5,29,38,3,17,11,18,26,81,11,73,46,16,7,17,23,9,3,4,18,9,63,7,4,19,8,48,0,10,2,22,8,3,26,5,3,16,33,3,2,13,3,14,10,0
0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0
2,1,0,5,2,3,1,1,3,2,4,0,6,1,2,4,2,3,3,1,2,4,1,4,2,0,2,0,0,7,5,7,1,0,6,3,2,3,1,0,4,0,5,0,4,1,1,9,0,1,5,0,5,2,0,1,2,0,1,2,0
1,0,0,7,5,0,1,2,3,5,2,6,0,2,3,3,2,0,2,0,3,2,2,2,4,1,5,4,5,1,3,3,2,1,1,2,6,2,3,0,1,2,0,1,1,0,1,2,2,3,2,2,1,2,0,0,2,1,4,0,0
5,653,2,45,20,2,1,3,72,2,2,8,2,10,9,17,2,219,15,0,2,8,28,127,10,0,5,56,141,1,37,31,217,0,6,14,17,93,2,6,18,37,1103,1,45,1,6,3,1,8,0,4,9,83,0,1,14,1,11,3,0
0,0,0,6,0,4,1,1,1,3,0,5,1,0,4,0,3,0,3,1,0,2,3,1,1,3,0,0,1,3,0,7,0,0,1,0,8,0,2,1,5,0,0,1,4,1,1,8,0,2,1,1,2,0,1,3,3,2,0,1,0
1,54,0,5,4,11,1,0,9,1,1,0,3,1,3,0,2,2,12,0,8,6,18,3,6,7,4,2,3,20,0,9,0,0,2,10,9,7,0,6,14,1,4,5,31,0,3,18,1,13,1,1,2,0,0,0,15,1,0,10,0
2,7,7,2,4,6,9,3,5,6,5,9,3,6,8,10,6,5,11,4,12,7,13,5,4,4,5,3,4,3,17,10,9,12,17,12,6,3,5,5,10,5,3,14,15,9,9,20,8,21,13,8,12,5,14,8,14,11,9,4,0
0,0,0,1,0,19,1,4,0,8,9,16,0,2,1,0,4,0,6,0,0,69,1,0,2,13,0,1,0,22,0,4,0,0,1,0,0,11,2,0,3,1,0,141,1,0,0,74,0,15,11,1,18,1,0,3,3,1,0,24,0
