0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,target
0,0,2,3,0,0,5,0,0,3,0,0,3,1,2,3,3,0,0,4,0,1,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,3,0,3,0,2,0,1,2,0,0,6,2,0,3,0,1,4,0,10,1,0,5,1,0,1,4,2,0,0,0,0,0,0,4,0,4,1,7,0,1,4,0,0
5,39,23,17,3,13,23,23,3,14,4,2,15,10,29,39,4,10,1,14,6,13,9,2,10,1,10,1,22,5,1,53,45,10,2,2,28,42,38,29,8,0,8,1,6,3,8,2,55,9,2,9,0,13,5,1,1,14,74,17,0,12,13,6,6,29,2,5,1,27,12,13,32,5,2,9,8,5,11,44,0
0,0,1,0,0,1,5,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2,1,1,0,0,2,0,0
1,0,4,1,0,5,1,1,0,1,1,0,2,1,1,0,0,2,0,2,3,3,4,2,3,1,3,0,1,2,1,2,3,2,0,6,0,5,0,0,1,0,4,0,4,2,1,0,5,0,1,1,0,5,0,0,3,1,2,5,0,0,2,6,0,2,1,0,0,1,1,3,1,5,4,2,4,5,1,2,0
0,6,1,4,2,0,1,0,0,1,1,0,3,0,0,0,1,3,0,1,0,1,0,0,0,1,4,1,5,3,0,2,0,2,0,0,1,5,0,3,2,1,2,2,2,4,5,3,2,3,2,3,0,6,0,0,0,0,5,1,0,1,0,0,0,0,0,6,0,3,2,1,3,2,0,3,3,1,0,3,0
3,11,55,3,2,59,47,4,0,43,0,1,0,8,5,5,3,80,0,14,0,8,1,0,1,0,33,28,8,11,5,4,1040,1,0,1,4,36,2,76,17,2,6,0,9,0,6,0,59,3,2,9,0,5,2,1,1,2,4,65,1,8,3,26,2,314,1,9,2,74,200,21,639,0,0,16,8,2,58,60,0
0,1,0,2,1,0,0,0,1,1,3,0,0,0,1,4,2,0,1,5,0,0,2,0,3,0,1,0,2,5,3,1,1,1,1,1,0,3,1,0,5,0,0,1,0,3,1,0,3,5,1,0,0,1,2,1,4,2,0,2,2,0,2,2,0,0,3,2,0,0,0,2,0,7,0,1,1,1,1,0,0
0,5,2,8,0,2,11,3,0,1,5,0,17,0,9,3,6,4,1,13,1,8,26,1,7,0,24,1,4,5,1,3,4,3,0,1,1,4,0,0,0,0,1,3,0,1,2,0,3,2,1,5,5,1,0,0,10,4,3,0,1,0,8,12,1,12,1,0,0,6,0,1,41,11,3,15,2,1,7,3,0
8,5,5,6,7,8,9,7,13,7,2,5,14,4,4,8,5,0,6,3,3,9,4,1,4,5,7,4,8,8,8,2,3,4,4,1,5,2,7,4,2,6,4,9,5,3,1,7,2,11,3,15,9,6,3,3,14,3,2,7,5,5,12,12,3,3,8,3,5,8,10,13,1,11,2,9,14,12,9,7,0
0,0,0,1,2,0,0,14,0,0,13,0,0,0,4,8,0,0,1,1,3,0,22,0,21,0,10,0,32,0,0,0,0,1,0,0,2,0,0,0,0,32,0,1,0,5,0,0,11,18,1,6,125,9,1,0,1,5,0,16,1,0,0,27,2,0,3,0,0,0,0,2,0,63,27,0,1,2,0,0,0
6,2,1,5,3,1,0,1,12,2,4,3,0,6,1,2,1,0,23,1,0,1,3,0,1,4,0,0,2,1,0,6,8,2,5,0,4,3,5,7,3,3,2,4,2,2,9,5,10,5,22,1,4,3,2,8,0,3,5,0,7,3,2,0,0,5,7,4,11,6,1,7,2,0,1,0,1,1,0,4,0
