0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,target
0,1,0,1,0,0,0,3,2,2,0,0,0,1,3,0,0,1,4,0,0,0,1,0,0,9,0,1,3,2,3,0,5,0,2,0,0,0,5,2,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,2,1,4,7,0,1,6,7,0,1,0,0,2,1,1,2,0,3,1,0,0,2,6,1,1,3,0,0,0,0,1,0,0,0
4,47,2,4,1,6,2,9,43,4,29,9,4,21,8,3,15,12,4,3,2,15,14,7,0,2,16,7,4,14,43,7,17,0,32,1,9,29,3,3,4,0,13,2,11,5,2,29,12,1,18,0,40,3,1,5,49,7,11,15,10,23,11,10,13,68,3,1,57,8,9,15,8,34,14,3,3,12,7,2,14,13,12,3,2,12,11,3,6,28,0
0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,1,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,2,4,3,0,0,0,0,0,2,0,3,1,4,1,1,0,2,1,0,0,4,1,0,4,0,2,1,3,0,7,0,1,0,1,6,5,1,1,0,2,2,3,2,1,0,2,0,0,1,0,3,3,2,0,1,1,3,3,3,1,2,2,0,2,2,1,6,2,1,1,2,1,4,0,1,4,5,2,0,0,0,2,1,1,2,0
0,6,0,0,0,3,1,0,1,1,1,1,0,2,2,0,1,0,0,0,2,2,0,2,0,1,1,1,0,1,2,0,3,0,5,1,2,2,2,0,2,0,0,0,0,1,1,1,1,0,0,0,6,2,0,2,0,3,2,2,0,5,2,4,1,5,2,2,3,0,1,5,1,3,1,0,0,1,0,0,2,3,1,1,1,8,1,0,1,0,0
0,10,0,9,0,3,6,3,1,4,3,36,4,45,13,0,2,5,1,0,0,141,0,8,0,32,3,0,0,45,51,2,67,8,22,29,194,80,17,1,0,0,3,0,6,0,1,65,4,0,0,1,7,13,0,0,1022,16,0,15,6,70,2,18,74,5,9,1,5,4,4,15,4,620,26,2,0,9,1,3,2,5,2,1,0,7,28,5,0,313,0
0,1,0,1,0,1,1,1,0,1,0,1,2,0,3,0,3,0,1,0,1,1,2,0,0,4,1,3,6,0,1,0,0,2,2,0,0,0,2,3,1,0,1,1,1,2,0,0,0,0,1,2,0,3,1,0,0,6,1,2,0,1,3,2,1,0,4,1,1,2,1,5,0,0,1,1,3,0,0,5,0,1,0,0,1,1,0,1,1,0,0
0,4,0,1,0,1,0,1,0,6,0,2,6,3,9,0,2,1,0,0,0,2,9,1,5,22,4,8,12,0,1,0,5,0,3,1,0,0,11,24,1,0,3,0,0,1,0,0,8,0,11,1,4,5,0,0,4,1,16,0,7,14,4,2,13,4,4,3,1,6,4,2,7,36,0,2,0,7,1,11,1,1,4,1,1,0,0,0,2,13,0
12,8,5,4,5,0,10,6,8,3,3,2,8,3,1,2,6,14,4,1,3,1,11,2,6,13,7,2,8,6,0,7,7,7,2,4,8,3,7,3,12,1,3,3,9,4,1,3,8,4,2,5,2,6,13,6,3,2,9,6,11,11,4,8,7,2,5,9,3,3,11,5,2,2,6,3,7,9,5,11,6,4,7,6,3,4,4,8,3,3,0
0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,13,3,1,0,0,0,9,0,145,59,0,5,40,0,10,0,10,0,0,0,0,0,0,31,8,0,2,0,5,1,0,0,0,0,4,0,1,5,1,3,0,0,0,1,1,0,22,12,0,0,0,1,0,3,0,1,13,0,1,31,3,2,2,2,0,7,6,0,0,0,0,23,1,0,0
