,0,1,2,3,4,5,6,7,8,9,10
0,32,6,34,19,18,40,13,24,17,22,0
1,11,29,32,13,23,45,21,16,19,25,0
2,39,8,28,9,18,13,10,22,12,11,0
3,34,8,21,18,24,21,31,39,19,30,0
4,43,16,59,13,20,20,18,8,8,15,0
5,23,19,29,5,10,40,10,6,8,9,0
6,16,13,19,5,6,47,14,11,10,11,0
7,45,11,28,26,27,9,41,25,25,35,0
8,24,17,31,18,12,21,13,16,13,19,0
9,14,14,34,10,13,37,13,3,13,11,0
10,31,19,32,11,18,48,16,21,11,13,0
11,6,25,24,24,19,22,7,6,6,12,0
12,33,39,29,17,27,40,19,18,10,19,0
13,11,27,21,19,15,42,5,11,7,18,0
14,39,28,39,31,27,18,42,49,36,34,0
15,13,16,30,27,27,29,32,25,34,20,0
16,38,26,31,34,15,22,26,25,15,13,0
17,23,18,41,26,20,25,14,43,26,9,0
18,15,43,33,12,15,42,14,15,13,22,0
19,13,16,30,18,26,24,22,22,15,28,0
20,25,31,39,20,23,25,25,11,26,23,0
21,10,22,36,11,13,43,16,9,14,15,0
22,5,16,11,5,10,36,5,1,5,8,0
23,21,19,27,8,5,19,9,14,8,7,0
24,11,21,9,4,14,66,5,5,8,14,0
25,28,38,47,14,10,12,14,16,14,15,0
26,14,21,50,5,13,7,15,19,17,8,0
27,25,25,28,19,10,31,8,28,8,13,0
28,19,18,42,16,13,37,9,16,5,8,0
29,30,8,30,23,12,13,16,32,25,14,0
30,9,58,37,32,47,119,31,7,36,46,0
31,16,14,27,13,14,10,21,21,17,18,0
32,34,9,22,13,18,42,17,24,20,18,0
33,8,10,30,15,7,17,11,8,15,10,0
34,22,12,25,23,20,19,28,24,26,16,0
35,20,17,22,9,22,31,18,12,23,20,0
36,28,14,38,14,19,38,19,9,15,18,0
37,15,6,8,5,4,4,7,4,7,9,0
38,29,9,39,18,18,37,24,22,10,18,0
39,26,41,29,13,26,30,29,22,19,15,0
40,21,16,28,21,31,32,16,13,18,18,0
41,27,21,37,18,13,28,32,34,14,12,0
42,11,26,28,15,12,25,3,3,2,6,0
43,22,15,21,20,24,45,27,26,11,29,0
44,28,18,37,24,30,26,34,26,31,21,0
45,38,19,35,13,21,38,11,26,18,12,0
46,22,24,31,12,9,17,18,22,25,14,0
47,16,17,28,17,9,19,14,22,17,15,0
48,7,44,31,15,34,59,30,7,36,36,0
49,20,9,24,16,21,20,24,18,11,13,0
50,15,34,25,22,21,31,23,11,29,15,0
51,24,15,23,20,19,39,15,31,21,20,0
52,31,14,44,15,15,19,19,30,20,18,0
53,40,34,43,29,15,31,21,21,19,18,0
54,43,2,25,9,6,9,9,28,7,14,0
55,15,18,36,22,13,36,21,16,19,15,0
56,30,21,37,14,14,19,19,14,22,14,0
57,25,28,44,17,19,22,13,21,8,19,0
58,29,21,35,19,21,11,19,11,17,24,0
59,17,16,18,6,13,21,14,10,14,13,0
60,6,3,13,1,10,2,9,11,5,13,1
61,7,3,8,1,12,3,6,12,8,11,1
62,10,6,11,3,16,2,11,13,7,20,1
63,6,7,9,3,15,0,7,11,9,18,1
64,7,5,9,1,10,1,5,11,7,15,1
65,13,6,7,3,12,7,7,11,8,9,1
66,11,3,3,1,8,1,7,14,4,7,1
67,5,6,7,3,14,4,11,7,7,9,1
68,4,3,15,3,15,0,7,11,13,11,1
69,14,7,8,6,14,6,6,4,8,11,1
70,17,3,6,3,15,2,12,10,4,12,1
71,8,8,10,5,6,3,4,8,3,7,1
72,16,1,11,12,9,3,5,6,3,16,1
73,5,4,4,2,12,1,7,4,6,9,1
74,17,1,5,4,13,1,5,11,6,9,1
75,16,2,3,5,11,2,8,10,14,6,1
76,14,3,5,4,6,2,8,13,3,8,1
77,12,3,6,3,3,0,11,11,7,9,1
78,22,3,8,6,5,2,15,12,5,5,1
79,26,4,5,7,11,3,13,10,3,11,1
80,9,5,5,1,11,0,9,5,9,8,1
81,11,3,8,3,11,2,7,7,4,9,1
82,11,6,2,4,7,3,11,8,6,12,1
83,13,3,7,1,10,3,9,12,7,10,1
84,8,3,11,10,12,8,9,15,11,15,1
85,28,18,11,28,19,9,34,30,39,20,1
86,18,3,11,18,18,20,13,13,11,14,1
87,13,9,13,23,15,22,11,10,10,10,1
88,9,4,12,13,8,14,9,7,11,13,1
89,19,5,14,18,18,15,18,28,15,25,1
90,7,7,9,20,11,4,12,7,18,14,1
91,10,6,8,18,15,15,18,8,12,10,1
92,6,16,26,28,25,7,29,10,23,31,1
93,10,3,5,21,13,0,19,3,12,14,1
94,35,14,26,11,7,6,20,21,13,15,1
95,6,5,14,3,10,5,10,2,7,8,1
96,5,4,11,5,14,5,11,2,9,10,1
97,9,11,7,6,7,10,11,4,7,13,1
98,15,10,8,21,13,21,12,18,12,12,1
99,11,9,10,19,12,15,11,16,11,7,1
100,15,2,5,27,11,7,17,10,20,15,1
101,11,13,12,28,14,10,15,12,10,15,1
102,20,8,11,11,13,14,11,12,9,14,1
103,9,16,8,12,13,9,19,12,18,21,1
104,9,17,12,10,14,10,10,9,12,18,1
105,8,8,27,8,17,11,9,11,8,24,1
106,5,2,10,8,10,7,11,5,7,16,1
107,12,10,8,1,3,2,4,5,2,5,1
108,4,11,11,1,13,6,3,5,6,14,1
109,11,11,9,24,10,1,18,9,15,11,1
110,8,7,10,4,10,13,8,5,5,11,1
111,10,6,13,16,17,4,25,7,10,20,1
112,12,3,6,4,13,9,6,9,4,14,1
113,9,18,26,25,24,14,14,13,15,21,1
114,9,4,9,19,9,21,14,6,6,12,1
115,3,15,4,28,6,7,12,4,11,4,1
116,10,4,15,23,6,7,15,5,7,8,1
117,6,20,0,17,7,3,9,9,12,4,1
118,19,2,2,14,14,6,11,12,7,12,1
119,11,9,6,18,16,7,16,11,10,20,1
120,0,0,2,0,1,2,0,0,4,4,2
121,0,0,11,2,2,0,2,21,0,1,2
