,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,2,3,0,0,0,1,2,0,1,1,0,0,0,0,0,4,4,2,1,0,4,3,1,8,3,3,2,4,2,1,3,5,1,4,0,2,2,1,3,7,0,0,2,1,1,3,2,1,0,10,5,8,0,4,1,3,1,0,5,2,1,0,0,3,7,3,1,3,0,2,2,0,3,0,2,0,3,7,3,0,5,3,6,15,1,1,0,0,4,5,3,1,0,1,3,2,0,3,2,1,0
1,7,1,0,4,3,1,2,3,4,5,0,3,0,0,0,1,0,3,2,1,3,0,3,5,4,7,0,0,3,1,1,1,0,3,12,2,8,5,4,0,0,2,5,0,3,1,0,2,2,3,4,2,2,5,0,1,0,0,7,1,1,0,0,0,6,3,3,1,3,6,5,2,0,3,0,0,7,1,7,7,0,7,0,2,1,0,2,0,1,4,3,0,0,7,0,2,0,3,3,2,0
2,0,1,0,3,0,3,1,2,0,5,1,1,1,2,1,0,2,0,1,1,3,0,1,11,3,3,8,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,2,2,2,3,0,2,1,3,2,7,1,6,3,2,0,1,10,1,0,0,0,4,5,5,0,2,0,2,1,2,0,0,2,0,1,2,0,1,1,1,1,7,2,3,1,2,1,3,3,1,2,0,0,2,1,1,0,3,0
3,4,2,2,3,1,4,4,2,2,4,1,4,3,2,2,1,2,2,2,1,7,4,3,4,3,3,11,3,2,4,2,3,4,1,0,3,1,2,1,2,0,1,0,2,3,4,4,2,2,3,5,1,0,3,0,3,2,0,2,0,3,2,3,3,2,2,4,3,3,9,0,2,0,1,7,2,0,1,3,0,2,2,0,4,2,0,0,2,7,3,2,6,1,0,7,1,6,1,1,0,0
4,10,0,1,1,2,5,0,2,6,2,3,1,4,1,2,5,0,1,1,2,2,0,0,17,3,2,1,2,2,1,1,2,0,2,2,2,0,2,0,4,0,0,0,2,2,1,1,1,6,3,0,3,1,5,2,5,3,1,7,0,1,1,1,1,4,5,1,1,4,2,3,1,1,2,0,1,1,1,5,1,3,3,5,9,1,5,0,1,2,2,1,3,0,1,1,4,1,0,2,2,0
5,3,0,1,0,1,4,0,2,1,0,1,1,1,0,2,4,3,0,1,2,2,2,1,8,0,3,1,1,0,4,2,1,0,2,1,0,0,0,2,0,0,1,18,2,2,0,0,1,1,1,2,2,2,1,1,1,2,1,1,2,0,0,3,2,5,4,1,0,0,1,4,0,0,0,0,0,0,1,7,4,1,1,9,2,0,2,1,1,1,0,0,4,0,2,0,0,3,1,1,0,0
6,1,1,2,0,0,1,4,2,2,1,1,0,1,0,0,2,2,3,0,0,2,2,1,5,2,1,1,2,0,2,2,3,0,0,7,1,1,0,0,3,0,0,28,3,2,1,1,0,1,0,2,1,0,1,3,0,0,0,0,0,0,1,2,0,8,4,1,4,2,0,1,1,1,0,0,0,0,2,1,1,2,3,2,5,1,1,0,0,2,1,0,1,0,1,1,0,2,0,0,0,0
7,2,4,1,2,2,6,3,0,1,5,6,4,9,3,2,2,10,1,5,1,3,9,0,12,1,3,6,5,1,8,3,4,5,2,0,0,0,3,0,2,3,1,5,5,1,0,3,3,5,0,0,3,2,1,0,2,4,2,4,0,1,4,0,2,1,7,0,1,6,4,6,2,4,3,4,1,3,0,0,0,8,0,4,1,4,1,0,3,2,3,0,0,4,0,1,4,4,2,1,1,0
8,6,1,0,2,1,1,2,2,5,1,1,0,3,2,0,2,5,0,2,1,1,1,0,7,2,2,0,2,3,2,0,1,5,2,1,1,3,2,1,1,1,2,1,3,3,5,1,2,1,2,4,2,0,3,1,1,3,2,5,1,1,2,1,1,4,4,0,3,0,4,2,1,0,0,2,3,2,1,2,3,0,1,2,5,2,4,1,0,3,0,1,1,0,2,4,1,1,1,1,1,0
9,7,0,2,2,0,2,0,1,2,1,1,0,3,1,0,1,0,1,1,1,1,1,0,7,3,0,1,1,1,4,1,2,1,3,6,1,2,3,2,5,0,3,3,0,1,0,0,0,1,4,3,6,0,4,0,1,0,1,3,0,1,0,6,2,6,0,1,0,1,1,1,0,1,2,0,0,0,4,6,2,7,2,1,2,0,3,0,0,1,1,0,1,0,1,1,2,0,1,2,2,0
10,2,0,0,1,0,4,0,3,2,1,2,0,2,0,1,3,5,0,0,2,0,1,0,10,3,2,3,3,1,3,2,2,0,2,9,0,2,1,2,2,0,1,4,6,1,0,2,0,2,5,5,5,1,4,2,7,2,0,5,0,1,0,1,2,11,4,1,1,0,1,0,2,1,4,0,2,1,0,5,9,7,4,2,5,3,0,1,2,6,1,0,0,0,5,0,5,1,0,3,1,0
11,5,2,1,2,3,3,0,2,4,0,0,0,0,1,1,2,0,1,0,6,1,0,0,7,4,0,0,1,0,0,2,0,0,6,5,4,3,4,0,2,1,0,5,0,2,2,0,3,0,2,0,1,0,4,0,2,0,1,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1,0,2,9,0,3,0,2,0,2,0,0,0,1,5,0,1,3,1,2,3,5,2,6,0
12,3,3,2,1,1,5,1,3,2,0,4,1,6,2,0,4,7,3,1,4,3,3,0,9,6,1,6,4,1,5,1,4,1,4,6,0,3,1,0,7,2,0,6,1,0,0,1,2,0,0,5,7,5,6,2,1,10,2,0,0,1,1,2,2,9,0,8,1,2,0,3,1,1,2,2,0,3,5,3,3,4,1,2,4,2,3,1,2,1,2,4,0,0,1,1,0,1,1,2,2,0
13,6,5,1,2,2,2,0,4,0,1,2,0,3,0,0,2,0,0,0,0,2,0,0,5,2,0,0,0,2,3,1,2,1,3,6,1,4,2,0,2,0,0,16,0,4,4,0,1,0,6,1,1,3,3,1,2,2,0,1,1,0,1,3,0,5,1,1,4,0,0,1,1,0,2,0,0,5,4,3,7,0,2,1,6,1,0,1,0,0,4,2,0,0,1,1,1,0,1,2,3,0
14,2,5,2,5,2,4,3,7,1,3,3,2,10,2,1,7,11,4,7,2,0,4,1,13,1,1,6,1,3,9,4,6,3,5,1,1,1,2,2,3,4,5,0,10,0,1,8,3,2,0,7,7,2,1,4,5,2,5,5,3,3,2,2,2,0,5,2,2,11,2,2,1,3,1,3,4,3,0,1,0,7,0,7,3,2,5,1,12,6,6,1,3,3,2,4,4,1,0,2,1,0
15,4,4,1,2,1,1,1,1,0,3,2,1,6,2,2,4,5,0,2,2,5,1,3,5,5,3,0,1,2,4,4,3,2,4,1,1,0,4,2,4,3,5,3,2,1,1,2,3,2,5,8,2,0,4,7,2,3,3,1,4,3,3,1,6,3,1,2,1,3,3,2,2,4,0,2,2,0,6,3,0,1,4,1,6,2,0,2,4,3,2,6,2,0,5,3,1,2,0,2,1,0
16,0,2,0,2,0,5,3,10,3,0,2,0,20,0,0,3,3,0,3,1,2,5,2,10,1,4,5,3,1,3,2,6,1,1,0,0,1,3,1,3,2,0,2,4,2,1,0,4,1,0,2,1,2,2,0,3,14,1,0,0,0,0,0,3,2,6,1,0,4,2,0,1,3,0,1,4,2,2,2,0,8,0,10,1,2,3,2,5,10,4,1,2,1,0,0,4,2,2,1,2,0
