,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5,12,3,9,28,26,11,11,3,6,0,6,10,13,26,14,13,16,3,10,0
1,6,21,2,16,10,27,10,24,7,11,16,7,8,11,22,6,7,11,8,4,0
2,6,3,6,11,31,9,7,8,7,4,7,1,4,9,22,1,11,14,2,7,0
3,20,4,10,8,18,13,13,12,16,9,7,0,6,18,11,15,20,21,3,21,0
4,6,7,3,12,38,8,7,9,12,3,9,8,1,8,46,20,3,4,4,12,0
5,8,6,4,4,20,29,1,12,5,1,10,4,2,3,26,10,3,3,1,7,0
6,4,6,2,2,12,39,3,8,4,5,6,0,1,9,16,9,5,6,2,13,0
7,15,1,10,9,23,7,9,12,18,13,9,10,2,16,21,28,13,16,4,36,0
8,6,6,5,7,20,11,5,8,4,9,14,5,3,14,26,10,8,10,6,7,0
9,8,7,4,11,7,27,3,14,7,6,11,3,1,2,22,5,2,3,7,12,0
10,7,13,8,11,22,35,6,9,8,3,11,5,5,3,25,11,3,13,4,18,0
11,3,9,4,9,6,14,2,12,8,3,14,6,15,4,16,5,7,2,12,0,0
12,10,10,3,16,21,30,3,11,16,4,31,9,9,6,16,16,8,10,5,17,0
13,4,10,0,8,10,35,4,12,4,2,17,5,7,11,13,10,7,7,8,2,0
14,14,2,20,11,26,5,22,13,11,22,18,15,6,16,19,41,13,27,7,35,0
15,14,11,7,14,12,14,21,10,7,18,9,11,16,10,14,17,15,17,7,9,0
16,8,4,13,8,20,11,8,8,8,9,18,8,5,6,14,42,3,13,9,30,0
17,5,4,14,10,12,17,12,5,8,12,12,8,1,5,23,39,10,22,3,23,0
18,12,18,0,8,8,25,4,11,12,5,29,12,3,7,23,11,7,10,11,8,0
19,10,7,10,14,8,13,7,9,11,9,9,6,2,14,18,23,12,15,3,14,0
20,11,3,6,11,19,19,9,16,13,8,24,8,3,14,26,19,11,2,3,23,0
21,8,13,4,11,5,24,5,13,5,5,11,4,7,7,26,7,4,6,5,19,0
22,2,3,0,4,3,36,4,2,2,2,10,0,1,8,10,5,5,0,2,3,0
23,2,5,3,5,16,12,3,2,10,5,13,2,1,6,22,9,1,9,1,10,0
24,3,7,0,6,11,60,4,6,3,3,15,0,1,9,7,4,8,4,1,5,0
25,6,6,1,7,21,6,9,11,9,5,25,13,1,5,30,18,4,16,3,12,0
26,9,4,1,7,11,2,10,11,7,9,15,9,4,1,34,9,4,15,0,7,0
27,4,9,3,7,24,23,2,2,6,8,19,3,3,7,15,26,6,19,1,8,0
28,5,15,3,5,17,22,2,5,8,3,13,1,3,5,31,21,5,10,2,7,0
29,12,6,12,2,17,6,15,3,10,10,6,8,3,10,28,10,10,20,3,12,0
30,22,47,9,28,8,70,24,24,9,14,34,17,25,20,23,4,14,3,26,1,0
31,9,2,3,9,16,6,11,6,9,10,11,12,1,9,16,9,9,14,1,8,0
32,13,20,5,6,23,19,8,16,12,6,7,2,9,8,11,7,11,17,7,10,0
33,4,3,6,7,8,12,9,9,6,6,7,3,0,5,23,7,1,5,2,8,0
34,17,1,10,6,12,13,13,8,9,14,8,7,8,9,19,9,6,15,5,26,0
35,15,10,3,12,17,21,7,17,9,6,11,9,4,5,16,5,9,6,6,6,0
36,8,19,4,17,21,22,3,12,4,4,11,3,5,8,25,9,5,3,8,21,0
37,4,1,2,1,12,1,3,3,3,0,5,4,7,4,6,1,2,1,1,8,0
38,7,5,9,11,21,30,4,10,12,8,5,7,2,11,29,11,7,14,6,15,0
39,5,6,5,17,17,23,10,11,9,15,27,6,4,7,15,15,5,18,12,23,0
40,3,11,4,18,17,15,14,21,11,9,7,15,17,9,16,3,7,2,4,11,0
41,12,1,3,10,18,26,5,14,8,12,14,2,4,8,24,15,12,22,7,19,0
42,3,4,1,5,12,20,1,8,7,1,19,0,4,2,22,8,3,2,6,3,0
43,10,13,7,17,17,23,5,18,10,10,10,8,10,16,17,14,9,12,3,11,0
44,8,10,10,18,24,11,18,16,13,23,12,11,7,6,17,24,16,14,8,9,0
45,3,10,8,9,17,32,6,15,7,6,10,4,6,9,22,7,11,17,1,31,0
46,7,5,4,8,16,13,16,6,7,8,20,8,0,6,17,12,4,16,5,16,0
47,2,8,12,8,14,8,10,10,3,11,10,7,5,8,20,7,7,11,3,10,0
48,14,29,0,24,2,29,18,30,18,24,27,10,18,11,15,2,9,4,14,1,0
49,11,11,7,8,17,9,5,7,10,9,7,4,7,8,12,9,8,9,10,8,0
50,7,9,9,10,7,27,17,11,12,11,22,14,9,0,16,11,8,6,5,15,0
51,8,12,9,9,17,24,9,7,10,6,12,0,6,14,16,18,12,17,5,16,0
52,9,4,10,9,19,12,4,17,13,10,10,3,5,13,31,12,6,22,2,14,0
53,3,4,9,7,24,24,11,9,8,14,22,12,6,11,24,34,11,11,3,24,0
54,8,0,2,2,27,7,6,5,8,4,2,2,0,6,16,14,4,23,0,16,0
55,3,14,6,7,15,20,9,5,8,10,12,4,9,11,30,8,9,9,9,13,0
56,18,4,4,3,18,17,9,5,15,6,15,1,4,4,27,13,6,9,3,23,0
57,10,8,5,13,18,10,6,17,8,3,24,6,2,5,27,17,10,13,2,12,0
58,15,4,4,11,24,6,11,11,11,9,14,7,7,12,21,11,10,7,7,5,0
59,4,5,2,8,14,14,13,8,5,12,11,4,5,8,6,12,6,1,2,2,0
60,3,1,3,3,3,2,7,7,3,4,2,2,0,9,9,0,9,6,0,0,1
61,6,1,4,4,5,2,4,9,4,2,0,4,1,5,5,1,8,3,0,3,1
62,2,2,4,9,6,0,5,13,5,6,3,3,1,10,7,1,9,7,1,5,1
63,2,0,2,5,4,0,5,15,5,3,3,4,1,11,5,1,8,7,1,3,1
64,3,1,5,6,5,0,4,8,3,3,4,0,2,7,4,1,6,5,0,4,1
65,5,2,4,3,8,2,4,12,4,4,4,4,0,8,1,3,10,2,1,2,1
66,3,0,3,5,9,1,2,9,4,2,1,1,0,5,1,0,6,5,0,2,1
67,5,0,3,8,3,3,6,8,2,5,5,3,0,6,2,1,7,3,0,3,1
68,3,1,7,7,4,1,5,5,5,5,2,1,1,9,9,3,3,6,0,5,1
