,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,3,6,3,11,3,5,8,6,12,5,11,11,4,2,8,1,0,4,11,25,5,10,6,26,3,2,4,13,11,6,0
1,5,21,11,8,5,13,3,4,3,4,11,12,11,12,14,4,9,7,3,11,10,14,0,8,4,0,3,15,7,2,0
2,10,6,2,4,0,6,8,7,3,3,11,3,2,1,1,4,5,5,2,4,3,10,1,17,4,11,4,13,13,7,0
3,8,2,3,4,0,9,15,7,4,8,9,9,3,3,3,13,4,7,9,8,11,9,6,9,16,21,7,5,21,12,0
4,8,5,5,1,3,7,2,11,5,1,24,8,2,2,5,10,8,6,8,5,10,12,13,24,4,3,3,18,4,3,0
5,5,29,0,2,3,5,1,5,2,0,11,3,2,3,4,6,5,2,4,8,10,2,7,9,6,7,3,11,4,0,0
6,4,37,1,0,1,7,5,2,3,4,11,5,4,4,4,2,1,4,4,5,5,3,6,8,2,4,4,4,5,3,0
7,18,6,2,2,7,13,4,7,5,8,16,13,1,4,0,11,4,4,20,2,10,9,22,11,11,19,12,4,15,12,0
8,4,9,7,3,4,4,8,6,5,5,10,11,3,3,5,2,6,2,8,10,7,6,5,14,6,2,6,13,8,2,0
9,1,7,5,2,1,4,1,8,1,1,12,6,6,5,4,4,6,2,10,18,11,6,4,5,8,2,5,11,2,4,0
10,8,17,3,2,4,3,7,4,2,0,14,5,7,4,12,6,7,3,11,15,10,7,8,15,5,10,6,10,11,4,0
11,4,17,8,9,5,1,3,9,6,3,9,5,7,1,8,7,7,1,0,4,8,6,1,2,2,0,4,6,3,5,0
12,10,18,4,5,4,8,7,4,5,1,11,10,15,1,9,12,19,4,9,8,5,12,14,8,6,21,4,7,6,4,0
13,4,28,6,5,2,5,5,1,3,1,9,11,11,1,5,5,7,3,0,12,10,8,6,9,2,1,3,5,6,2,0
14,7,6,3,6,12,7,10,10,8,13,16,13,3,16,0,7,16,10,26,3,11,11,31,15,14,12,8,8,23,18,0
15,7,4,5,11,7,4,9,4,13,9,7,9,11,13,8,8,5,17,7,13,9,15,10,8,12,3,4,7,11,3,0
16,6,4,6,7,5,3,0,5,8,11,17,4,3,2,4,8,9,3,19,7,4,5,34,13,7,17,8,6,13,7,0
