,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,8,4,6,9,3,3,1,6,0,3,2,3,12,1,3,9,1,4,1,2,23,5,3,3,5,14,6,2,2,6,8,7,1,9,8,4,9,0,25,4,0
1,2,2,10,9,2,3,0,3,9,0,5,7,10,2,9,3,4,8,5,6,6,7,5,2,4,6,18,1,8,8,8,9,0,3,19,3,10,6,9,3,0
2,1,2,9,3,4,2,3,1,3,1,5,0,12,3,5,4,3,0,1,2,17,0,3,3,4,8,5,7,1,2,5,1,9,6,1,8,13,2,6,5,0
3,7,6,6,7,4,4,5,10,6,6,2,0,9,6,9,5,2,3,8,1,8,5,12,7,11,10,2,6,1,5,4,7,17,14,3,7,4,2,8,6,0
4,5,1,10,6,7,3,2,15,4,0,1,6,30,6,7,6,4,13,2,2,14,1,4,7,2,5,4,2,0,1,1,1,4,2,4,4,11,5,6,12,0
5,2,1,3,3,4,1,1,9,5,0,0,3,14,6,7,1,0,1,1,2,7,2,6,4,1,3,28,0,3,2,1,1,5,2,3,3,8,3,7,6,0
6,5,1,1,5,2,5,3,8,1,2,3,0,8,1,5,4,2,3,1,0,7,3,2,4,1,0,39,3,1,1,0,1,1,7,4,4,4,3,4,3,0
7,12,6,7,8,14,7,9,23,2,5,3,3,19,9,5,5,3,2,8,5,5,1,8,15,5,5,7,10,2,6,1,10,11,5,1,14,4,2,1,4,0
8,1,2,5,4,5,4,2,8,1,5,3,4,12,1,3,4,3,5,2,4,11,1,5,4,6,2,5,4,3,4,3,2,2,6,7,7,11,7,9,7,0
9,9,2,11,8,1,2,0,5,2,1,3,2,13,3,7,1,4,5,2,1,3,4,10,2,0,4,9,2,4,0,1,2,2,2,5,1,8,4,13,4,0
10,9,4,10,6,9,1,1,6,6,0,3,1,12,5,2,6,3,3,4,4,12,8,3,7,2,8,18,1,3,3,2,4,6,3,10,9,8,4,12,2,0
11,0,1,6,6,0,1,1,1,8,0,3,4,10,7,2,6,11,6,2,6,3,5,3,0,4,2,15,3,1,0,8,1,0,3,7,0,2,4,2,7,0
12,6,3,11,7,7,4,1,11,5,1,4,4,10,8,7,6,5,8,8,6,4,13,7,8,1,7,18,3,0,1,4,5,15,6,8,6,1,10,8,4,0
13,0,0,6,6,3,1,1,7,3,1,2,3,9,4,6,3,7,4,2,6,7,9,2,0,4,5,28,1,1,1,5,7,1,7,5,3,2,3,10,1,0
14,15,12,6,7,3,9,7,28,7,9,8,9,16,5,4,9,6,3,4,5,9,5,13,12,5,10,3,18,8,7,3,8,10,7,0,23,7,12,2,9,0
15,1,5,10,8,4,7,1,11,4,5,15,5,8,4,4,12,3,5,4,5,6,12,7,6,4,8,4,3,7,7,9,8,3,10,7,8,5,4,10,4,0
16,12,5,5,3,2,7,4,35,1,5,1,4,12,7,4,8,4,5,1,2,10,3,4,13,5,4,5,7,1,4,5,2,13,1,3,15,2,12,5,4,0
17,12,8,7,2,2,2,3,29,7,6,5,4,23,2,3,7,3,5,4,2,9,0,2,6,1,6,6,10,4,4,2,2,8,5,1,21,7,5,8,2,0
18,4,2,4,4,2,1,1,8,10,1,6,9,17,5,6,3,2,8,6,12,7,7,11,1,0,4,14,5,6,1,1,4,4,3,17,6,7,8,1,6,0
