,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,1,1,9,2,5,3,3,1,1,1,0,4,0,1,3,4,7,3,2,2,4,1,3,2,9,3,5,3,6,1,3,2,8,3,9,3,8,0,1,2,2,22,4,5,2,1,3,2,1,1,8,1,4,3,2,6,5,17,4,3,0
1,1,0,7,2,4,0,6,10,0,1,5,5,7,4,10,2,4,0,4,9,6,0,0,3,5,7,5,4,0,1,2,2,6,11,9,1,0,0,2,0,4,7,0,14,1,3,9,0,3,6,7,2,4,1,3,4,4,10,7,0,0
2,2,2,2,5,3,1,2,0,1,1,3,1,2,1,6,4,0,4,5,0,2,1,0,4,1,0,6,2,4,1,3,2,5,1,12,1,1,2,3,0,0,17,11,5,2,2,1,1,3,1,12,3,2,2,3,2,0,4,3,0,0
3,2,2,3,11,6,4,5,2,7,6,1,2,3,2,7,4,4,3,2,1,5,4,5,5,3,1,4,6,2,0,3,3,5,2,3,15,6,11,6,2,3,7,13,1,5,6,3,5,1,1,7,1,2,4,2,1,3,5,7,0,0
4,5,3,1,1,2,2,12,3,5,4,4,2,3,2,2,10,4,2,1,2,0,1,1,7,5,4,8,2,3,0,2,4,3,3,11,1,5,1,6,7,2,14,2,3,2,2,10,0,1,0,20,3,2,1,1,0,1,5,5,2,0
5,6,0,1,0,3,2,5,3,3,7,4,3,3,1,0,4,2,2,1,0,1,0,1,3,0,2,1,0,3,2,1,2,0,3,6,0,2,1,5,6,1,6,3,28,1,2,1,0,1,3,8,0,0,0,1,1,2,6,6,0,0
6,1,0,3,4,2,3,4,5,3,2,3,0,0,0,1,2,1,4,3,1,0,0,1,4,4,0,1,1,2,0,1,2,1,3,2,1,3,1,1,5,3,8,1,33,0,4,2,1,0,2,10,0,0,3,0,0,1,3,5,1,0
7,12,5,0,6,5,7,6,0,5,9,1,6,1,6,4,3,2,6,2,0,3,4,6,10,4,3,3,4,11,3,7,10,3,0,4,0,12,2,9,12,3,4,11,6,2,2,2,5,4,2,14,1,3,2,0,2,5,0,5,3,0
8,2,1,2,3,2,1,6,0,5,4,1,3,2,1,2,6,4,4,3,3,0,1,3,4,2,4,4,5,6,2,5,2,1,2,11,4,0,3,1,2,1,11,0,3,2,3,4,5,4,3,10,2,1,3,1,2,1,7,3,1,0
9,3,1,6,1,1,1,7,6,0,8,3,4,2,2,1,4,1,1,3,2,1,0,1,0,5,1,8,0,0,1,1,0,1,4,7,0,9,0,3,4,1,3,4,6,1,1,3,1,1,5,10,3,2,0,0,1,0,10,6,1,0
10,6,1,3,0,1,0,4,11,4,4,4,3,6,4,3,2,3,7,3,2,1,1,3,5,3,1,5,0,7,2,1,1,3,10,8,3,10,1,5,7,1,11,5,13,1,1,3,1,1,2,12,1,3,1,1,0,1,10,2,2,0
11,1,0,0,0,2,0,4,11,0,1,2,5,9,2,1,7,4,1,3,3,1,1,0,0,3,4,4,2,0,0,0,1,2,6,2,0,0,2,5,0,1,3,0,10,0,2,5,0,2,2,7,7,2,3,6,7,0,3,2,0,0
12,6,2,6,2,5,3,4,7,11,7,10,4,6,6,1,3,2,3,3,3,1,2,1,2,11,1,6,1,9,4,4,1,1,4,2,4,5,2,7,5,3,4,11,14,1,2,3,1,5,0,10,3,2,2,9,1,1,5,6,1,0
13,2,0,7,1,2,0,7,9,2,2,3,5,2,2,2,0,2,0,2,4,0,1,0,2,3,4,4,6,0,0,2,3,5,3,1,0,0,0,3,3,1,7,0,24,1,5,1,1,6,1,7,3,2,4,5,1,0,8,5,0,0
14,8,13,1,9,1,5,7,4,5,9,9,4,4,1,6,9,3,9,7,1,3,5,8,4,5,7,4,5,16,7,5,8,8,1,6,5,14,6,4,18,9,7,11,0,2,2,3,4,4,6,15,3,0,3,4,1,8,1,1,5,0
15,3,5,7,1,6,3,4,5,5,10,2,5,4,4,1,3,4,2,13,0,2,5,4,3,5,5,4,2,7,3,3,2,2,6,4,3,2,1,3,7,6,8,0,4,3,1,5,4,3,8,6,3,8,1,8,1,8,7,3,6,0
16,3,10,3,0,3,7,1,0,12,3,12,1,1,1,3,5,4,8,1,1,3,8,3,3,2,2,2,3,5,2,1,3,4,3,1,0,17,0,7,22,6,12,9,2,3,2,4,2,1,1,13,2,2,0,1,2,3,3,3,4,0
17,2,16,0,4,1,1,2,1,7,1,4,2,4,3,1,3,2,7,3,0,5,7,4,4,2,2,2,1,14,2,3,3,6,0,4,4,9,1,2,19,2,9,6,4,4,0,5,5,1,3,21,1,2,3,1,0,6,8,3,3,0
