,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,0,3,1,5,1,4,3,0,2,1,2,3,4,0,1,4,0,5,2,0,0,3,0,0,4,1,5,12,4,4,9,7,2,1,9,0,14,0,2,4,2,0,0,7,3,1,2,0,1,3,2,0,3,0,1,2,3,1,5,2,2,2,0,0,0,3,4,5,8,0,4,1,2,0,6,4,10,7,0,7,0
1,2,5,0,4,2,0,0,1,2,2,6,8,1,3,0,4,0,0,7,2,2,1,0,2,0,3,0,3,4,1,0,2,0,4,3,1,4,4,5,1,3,7,5,8,2,1,6,2,0,4,8,5,9,3,2,8,1,2,5,0,3,1,6,0,2,0,3,8,5,0,4,5,0,2,2,1,9,7,4,2,0
2,4,0,0,1,3,2,0,0,3,2,0,1,1,0,3,0,0,3,1,0,3,1,1,1,1,2,3,12,2,1,1,1,10,4,3,1,6,6,0,2,1,1,4,4,3,1,1,1,1,1,0,1,2,2,3,0,0,0,7,0,0,3,1,0,0,3,2,3,2,2,3,2,4,1,0,1,10,11,1,3,0
3,7,3,3,3,1,3,4,2,2,1,1,2,3,4,1,2,3,7,0,4,0,13,0,1,5,3,4,5,2,3,0,3,13,6,3,1,2,5,5,3,3,2,4,4,3,6,0,1,2,2,1,0,0,7,3,1,3,0,4,3,3,3,1,1,2,5,1,3,2,6,6,2,2,2,3,3,3,6,3,6,0
4,4,1,2,0,2,1,1,1,1,4,4,2,1,3,4,5,6,4,3,2,3,0,2,4,0,2,3,13,1,4,5,4,2,1,3,2,6,0,9,1,1,2,1,2,9,2,4,1,2,2,2,0,0,5,5,0,0,3,7,0,3,2,0,1,2,2,0,3,1,1,2,0,1,0,0,1,14,20,1,2,0
5,7,0,3,3,0,1,2,0,1,4,1,0,0,2,1,1,1,1,5,1,2,1,1,2,1,2,2,6,2,2,10,1,2,1,1,1,3,1,5,0,0,10,0,6,4,4,4,1,0,1,2,0,13,5,1,0,0,4,1,0,0,1,1,0,0,2,1,3,0,0,0,0,2,0,0,2,4,6,1,0,0
6,4,0,3,0,0,2,0,0,0,2,0,3,0,1,3,1,2,2,1,2,1,1,0,0,2,2,1,7,0,2,2,4,1,0,0,0,0,1,2,1,2,9,2,4,1,2,1,0,1,0,5,0,31,1,1,1,0,0,1,4,2,2,1,0,0,1,0,3,2,0,1,1,2,1,3,0,2,4,3,5,0
7,0,4,6,2,1,4,5,2,0,7,3,0,3,1,2,2,9,4,0,5,0,0,2,5,9,2,3,1,5,10,6,2,11,5,0,1,2,7,5,0,1,2,6,0,4,7,6,5,2,3,0,0,5,8,6,0,2,1,1,2,0,4,2,2,3,6,1,6,0,3,4,1,11,4,4,4,4,13,1,2,0
8,2,2,5,1,1,3,2,1,1,1,4,0,1,1,1,2,3,2,3,0,1,4,3,0,1,3,1,8,1,0,4,1,0,2,2,1,2,0,6,5,0,4,1,6,5,3,2,2,2,3,0,1,2,3,1,3,0,1,4,3,1,3,2,3,1,3,2,3,1,0,1,1,5,5,1,2,10,7,2,4,0
9,5,1,0,4,2,1,1,1,0,0,0,0,1,0,1,3,3,1,6,1,2,0,1,0,1,1,1,3,1,7,1,4,3,2,4,2,3,1,6,0,1,4,1,10,4,5,1,0,0,3,4,1,2,1,2,2,0,3,8,0,1,0,3,0,3,2,1,0,4,0,1,2,0,1,2,1,7,8,0,0,0
